Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Jour_Semaine,Mois,Type_Commande
TXN_1961373,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-09-08,Friday,September,Petite
TXN_4977031,Cake,4.0,3.0,12.0,Cash,In-store,2023-05-16,Tuesday,May,Grosse
TXN_4271903,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-07-19,Wednesday,July,Grosse
TXN_7034554,Salad,2.0,5.0,10.0,Non Spécifié,Non Spécifié,2023-04-27,Thursday,April,Petite
TXN_3160411,Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-06-11,Sunday,June,Petite
TXN_2602893,Smoothie,5.0,4.0,20.0,Credit Card,Non Spécifié,2023-03-31,Friday,March,Grosse
TXN_4433211,Non Spécifié,3.0,3.0,9.0,Non Spécifié,Takeaway,2023-10-06,Friday,October,Petite
TXN_6699534,Sandwich,4.0,4.0,16.0,Cash,Non Spécifié,2023-10-28,Saturday,October,Grosse
TXN_4717867,Non Spécifié,5.0,3.0,15.0,Non Spécifié,Takeaway,2023-07-28,Friday,July,Grosse
TXN_2064365,Sandwich,5.0,4.0,20.0,Non Spécifié,In-store,2023-12-31,Sunday,December,Grosse
TXN_2548360,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-11-07,Tuesday,November,Grosse
TXN_7619095,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-05-03,Wednesday,May,Petite
TXN_9437049,Cookie,5.0,1.0,5.0,Non Spécifié,Takeaway,2023-06-01,Thursday,June,Grosse
TXN_8915701,Non Spécifié,2.0,1.5,3.0,Non Spécifié,In-store,2023-03-21,Tuesday,March,Petite
TXN_2847255,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-11-15,Wednesday,November,Petite
TXN_3765707,Sandwich,1.0,4.0,4.0,Non Spécifié,Non Spécifié,2023-06-10,Saturday,June,Petite
TXN_6769710,Juice,2.0,3.0,6.0,Cash,In-store,2023-02-24,Friday,February,Petite
TXN_8876618,Cake,5.0,3.0,15.0,Cash,Non Spécifié,2023-03-25,Saturday,March,Grosse
TXN_3709394,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-01-15,Sunday,January,Grosse
TXN_3522028,Smoothie,1.0,4.0,4.0,Cash,In-store,2023-04-04,Tuesday,April,Petite
TXN_3567645,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-03-30,Thursday,March,Grosse
TXN_5132361,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-01,Friday,December,Petite
TXN_2616390,Sandwich,2.0,4.0,8.0,Non Spécifié,Non Spécifié,2023-09-18,Monday,September,Petite
TXN_9400181,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-06-03,Saturday,June,Grosse
TXN_7958992,Smoothie,3.0,4.0,12.0,Non Spécifié,Non Spécifié,2023-12-13,Wednesday,December,Petite
TXN_5183041,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-04-20,Thursday,April,Grosse
TXN_5695074,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-10,Monday,April,Grosse
TXN_8467949,Smoothie,5.0,4.0,20.0,Credit Card,Non Spécifié,2023-03-11,Saturday,March,Grosse
TXN_1736287,Non Spécifié,5.0,2.0,10.0,Digital Wallet,Non Spécifié,2023-06-02,Friday,June,Grosse
TXN_8927252,Non Spécifié,2.0,1.0,2.0,Credit Card,Non Spécifié,2023-11-06,Monday,November,Petite
TXN_9677376,Smoothie,4.0,4.0,16.0,Non Spécifié,In-store,2023-08-15,Tuesday,August,Grosse
TXN_8853997,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-09,Monday,October,Petite
